n,tiempo
100,0.000931104
100,0.000888761
100,0.000891636
200,0.0082862
200,0.00820544
200,0.00813736
300,0.0278561
300,0.02795
300,0.0279016
400,0.069233
400,0.0695633
400,0.0698979
500,0.130835
500,0.130249
500,0.129698
600,0.230513
600,0.228733
600,0.230708
800,0.607449
800,0.611946
800,0.610609
1000,2.82748
1000,2.80959
1000,2.77651
